,name,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
0,FREDRIK AAS,m,NOR,2022-02-24,2022 cottbus world cup,qual,"cottbus, germany",HB,18.0,3.9,8.266,,12.166
1,FREDRIK AAS,m,NOR,2022-02-24,2022 cottbus world cup,qual,"cottbus, germany",PB,23.0,3.9,6.9,,10.8
2,FREDRIK AAS,m,NOR,2022-02-24,2022 cottbus world cup,qual,"cottbus, germany",PH,33.0,4.2,6.666,,10.866
3,FREDRIK AAS,m,NOR,2023-02-23,2023 cottbus world cup,qual,"cottbus, germany",HB,39.0,4.6,6.7,,11.3
4,FREDRIK AAS,m,NOR,2023-02-23,2023 cottbus world cup,qual,"cottbus, germany",PH,44.0,4.4,7.8,,12.2
5,FREDRIK AAS,m,NOR,2023-08-01,2023 fisu world university games,qual,"chengdu, china",FX,54.0,4.0,8.566,,12.566
6,FREDRIK AAS,m,NOR,2023-08-01,2023 fisu world university games,qual,"chengdu, china",HB,44.0,4.6,8.166,,12.766
7,FREDRIK AAS,m,NOR,2023-08-01,2023 fisu world university games,qual,"chengdu, china",PB,54.0,4.4,8.066,,12.466
8,FREDRIK AAS,m,NOR,2023-08-01,2023 fisu world university games,qual,"chengdu, china",PH,58.0,4.4,7.266,,11.666
9,FREDRIK AAS,m,NOR,2023-08-01,2023 fisu world university games,qual,"chengdu, china",SR,73.0,3.5,8.366,,11.866
10,FREDRIK AAS,m,NOR,2023-08-01,2023 fisu world university games,qual,"chengdu, china",VT1,69.0,4.0,8.966,,12.966
11,NESTOR ABAD,m,ESP,2022-10-29,2022 51st fig artistic gymnastics world championships,aafinal,"liverpool, england",FX,13.0,5.5,8.3,,13.8
12,NESTOR ABAD,m,ESP,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",FX,48.0,5.5,7.9,,13.4
13,NESTOR ABAD,m,ESP,2022-10-29,2022 51st fig artistic gymnastics world championships,aafinal,"liverpool, england",HB,10.0,5.3,8.133,,13.433
14,NESTOR ABAD,m,ESP,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",HB,48.0,5.0,8.166,,13.166
15,NESTOR ABAD,m,ESP,2022-10-29,2022 51st fig artistic gymnastics world championships,teamfinal,"liverpool, england",HB,,5.3,7.833,,13.133
16,NESTOR ABAD,m,ESP,2022-10-29,2022 51st fig artistic gymnastics world championships,aafinal,"liverpool, england",PB,12.0,5.8,8.4,,14.2
