,name,Country,UB_mean_score,UB_std,UB_count,UB_D_mean_score,UB_D_std,UB_E_mean_score,UB_E_std,UB_rank,BB_mean_score,BB_std,BB_count,BB_D_mean_score,BB_D_std,BB_E_mean_score,BB_E_std,BB_rank,FX_mean_score,FX_std,FX_count,FX_D_mean_score,FX_D_std,FX_E_mean_score,FX_E_std,FX_rank,VT_mean_score,VT_std,VT_count,VT_D_mean_score,VT_D_std,VT_E_mean_score,VT_E_std,VT_rank,all_scores_std,Standardized_Score_Sum,Total_Appearances,apparatus_participated,mean_score_of_all
675,SIMONE BILES,USA,14.26,0.18,7.0,6.0,0.0,8.26,0.18,9.0,14.6,0.22,7.0,6.37,0.18,8.23,0.13,2.0,14.87,0.32,7.0,6.71,0.11,8.18,0.25,1.0,14.98,0.41,9.0,5.96,0.42,9.26,0.37,1.0,0.41,58.709999999999994,30.0,4,14.7
608,REBECA ANDRADE,BRA,14.23,0.56,11.0,6.11,0.14,8.12,0.47,10.0,13.5,0.51,10.0,5.89,0.13,7.62,0.46,16.0,14.21,0.3,8.0,6.06,0.11,8.18,0.24,2.0,14.66,0.93,15.0,5.27,0.68,9.4,0.29,2.0,0.78,56.599999999999994,44.0,4,14.21
668,SHILESE JONES,USA,14.51,0.49,15.0,6.29,0.08,8.22,0.42,6.0,13.32,0.74,13.0,5.58,0.27,7.74,0.65,26.0,13.7,0.42,14.0,5.62,0.16,8.11,0.28,9.0,14.29,0.18,11.0,5.0,0.0,9.31,0.16,4.0,0.69,55.82,53.0,4,13.96
397,KONNOR MCCLAIN,USA,13.27,0.8,3.0,5.6,0.2,7.67,0.6,66.0,14.5,0.36,3.0,6.2,0.17,8.3,0.26,4.0,13.63,0.42,3.0,5.6,0.35,8.03,0.08,10.0,14.28,0.16,3.0,5.0,0.0,9.28,0.16,5.0,0.67,55.68,12.0,4,13.92
336,JESSICA ROSE GADIROVA,GBR,13.39,0.44,12.0,5.58,0.14,7.81,0.41,55.0,13.25,0.59,12.0,5.54,0.32,7.71,0.52,32.0,14.1,0.35,14.0,5.86,0.18,8.26,0.21,3.0,13.93,0.44,20.0,4.98,0.28,8.98,0.36,19.0,0.56,54.67,58.0,4,13.72
680,SKYE BLAKELY,USA,13.81,0.64,10.0,5.7,0.3,8.11,0.52,28.0,13.46,0.67,11.0,6.07,0.17,7.39,0.62,17.0,13.12,0.51,6.0,5.57,0.14,7.63,0.46,38.0,14.15,0.2,6.0,5.0,0.0,9.17,0.17,9.0,0.65,54.54,33.0,4,13.63
342,JORDAN CHILES,USA,13.66,0.64,12.0,5.77,0.2,7.89,0.49,37.0,12.9,0.74,9.0,5.32,0.16,7.58,0.67,60.0,13.73,0.34,11.0,5.75,0.14,8.0,0.35,8.0,14.22,0.22,19.0,4.94,0.1,9.29,0.15,7.0,0.66,54.510000000000005,51.0,4,13.75
317,JADE CAREY,USA,13.14,0.56,6.0,5.38,0.15,7.76,0.41,74.0,12.94,0.54,10.0,5.56,0.2,7.39,0.56,57.0,13.8,0.39,8.0,5.96,0.12,7.85,0.28,5.0,14.5,0.28,15.0,5.44,0.27,9.07,0.23,3.0,0.79,54.379999999999995,39.0,4,13.75
28,ALICE D AMATO,ITA,14.2,0.58,16.0,6.16,0.1,8.03,0.5,11.0,12.81,0.42,7.0,5.33,0.1,7.49,0.37,67.0,13.29,0.28,15.0,5.33,0.12,7.99,0.28,24.0,14.06,0.18,10.0,5.0,0.0,9.06,0.18,13.0,0.66,54.36,48.0,4,13.68
422,LEANNE WONG,USA,13.81,0.44,8.0,5.69,0.04,8.12,0.41,27.0,13.16,0.68,8.0,5.44,0.22,7.74,0.53,38.0,13.47,0.31,6.0,5.55,0.12,7.94,0.23,19.0,13.84,0.51,13.0,4.82,0.35,9.03,0.21,29.0,0.57,54.28,35.0,4,13.61
267,FLAVIA SARAIVA,BRA,13.47,0.38,8.0,5.51,0.18,7.95,0.3,49.0,13.45,0.87,8.0,5.59,0.17,7.87,0.79,18.0,13.47,0.64,10.0,5.57,0.23,7.92,0.52,20.0,13.89,0.08,6.0,5.0,0.0,8.89,0.08,24.0,0.59,54.28,32.0,4,13.54
774,YUSHAN OU,CHN,13.87,0.37,6.0,5.78,0.04,8.09,0.37,23.0,13.97,0.4,9.0,6.16,0.19,7.82,0.33,7.0,13.34,0.59,8.0,5.5,0.34,7.88,0.35,23.0,13.06,0.08,6.0,4.2,0.0,8.86,0.08,132.0,0.55,54.24,29.0,4,13.59
231,ELSABETH BLACK,CAN,13.66,0.76,6.0,5.67,0.26,7.99,0.53,36.0,13.43,0.31,6.0,5.67,0.19,7.77,0.22,22.0,13.2,0.2,5.0,5.16,0.22,8.1,0.29,31.0,13.92,0.2,13.0,4.92,0.1,9.0,0.15,20.0,0.46,54.21,30.0,4,13.65
380,KAYLA DICELLO,USA,13.33,0.76,7.0,5.49,0.17,7.85,0.6,61.0,13.13,0.68,8.0,5.64,0.12,7.5,0.68,39.0,13.62,0.22,8.0,5.45,0.11,8.17,0.14,12.0,14.03,0.29,7.0,4.89,0.3,9.14,0.1,15.0,0.61,54.11,30.0,4,13.52
102,ASIA D AMATO,ITA,14.02,0.13,3.0,6.0,0.0,8.02,0.13,16.0,13.31,0.56,4.0,5.52,0.1,7.78,0.6,27.0,12.99,1.0,3.0,5.23,0.29,7.86,0.54,53.0,13.71,0.39,15.0,4.84,0.27,8.89,0.18,39.0,0.55,54.03,25.0,4,13.6
382,KAYLIA NEMOUR,ALG,14.99,0.24,3.0,6.8,0.1,8.19,0.22,1.0,13.28,0.02,2.0,5.5,0.0,7.78,0.02,29.0,12.7,0.0,2.0,5.0,0.0,7.75,0.07,111.0,12.88,0.17,2.0,4.2,0.0,8.73,0.09,192.5,1.05,53.85,9.0,4,13.63
603,QIYUAN QIU,CHN,14.49,1.03,10.0,6.43,0.23,8.06,0.93,7.0,13.26,0.67,6.0,5.85,0.51,7.41,0.34,31.0,12.93,0.49,5.0,5.14,0.05,7.79,0.52,64.0,13.14,0.05,3.0,4.4,0.0,8.74,0.05,110.0,1.02,53.82,24.0,4,13.69
510,MARTINA MAGGIO,ITA,12.94,1.03,4.0,5.72,0.17,7.22,0.86,92.0,13.08,0.17,8.0,5.4,0.26,7.68,0.29,47.0,13.77,0.19,7.0,5.69,0.04,8.12,0.11,7.0,13.88,0.24,5.0,4.6,0.0,9.28,0.24,25.0,0.57,53.67,24.0,4,13.42
518,MELANIE DE JESUS DOS SANTOS,FRA,13.22,1.37,6.0,5.97,0.42,7.26,1.09,67.0,12.83,0.89,7.0,5.44,0.36,7.39,0.63,64.0,13.49,0.26,5.0,5.4,0.23,8.13,0.19,18.0,14.04,0.35,5.0,5.0,0.0,9.08,0.33,14.0,0.94,53.58,23.0,4,13.34
