,name,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
144,JANA ABDELSALAM,w,EGY,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",BB,100.0,4.8,6.2,,11.0
145,JANA ABDELSALAM,w,EGY,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",FX,109.0,4.4,7.466,0.1,11.766
146,JANA ABDELSALAM,w,EGY,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",UB,52.0,4.8,8.0,,12.8
147,JANA ABDELSALAM,w,EGY,2022-10-29,2022 51st fig artistic gymnastics world championships,qual,"liverpool, england",VT1,110.0,4.2,8.433,0.3,12.333
148,JANA ABDELSALAM,w,EGY,2022-03-17,2022 cairo world cup,qual,"cairo, egypt",BB,14.0,4.8,5.966,,10.766
149,JANA ABDELSALAM,w,EGY,2022-03-17,2022 cairo world cup,final,"cairo, egypt",UB,6.0,4.6,6.266,,10.866
150,JANA ABDELSALAM,w,EGY,2022-03-17,2022 cairo world cup,qual,"cairo, egypt",UB,7.0,4.6,6.633,,11.233
151,JANA ABDELSALAM,w,EGY,,2022 paris world challenge cup,qual,"paris, france",FX,24.0,4.5,6.6,0.1,11.0
152,JANA ABDELSALAM,w,EGY,,2022 paris world challenge cup,qual,"paris, france",UB,14.0,4.6,7.6,,12.2
153,JANA ABDELSALAM,w,EGY,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",BB,144.0,4.8,5.866,,10.666
154,JANA ABDELSALAM,w,EGY,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",FX,131.0,4.5,7.2,0.3,11.4
155,JANA ABDELSALAM,w,EGY,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",UB,152.0,3.8,4.433,,8.233
156,JANA ABDELSALAM,w,EGY,2023-09-30,2023 52nd fig artistic gymnastics world championships,qual,"antwerp, belgium",VT1,131.0,4.2,8.5,0.3,12.4
157,JANA ABDELSALAM,w,EGY,2023-03-09,2023 baku world cup,qual,"baku, azerbaijan",BB,22.0,4.8,6.733,,11.533
158,JANA ABDELSALAM,w,EGY,2023-03-09,2023 baku world cup,qual,"baku, azerbaijan",FX,22.0,4.5,7.366,,11.866
159,JANA ABDELSALAM,w,EGY,2023-04-27,2023 cairo world cup,final,"cairo, egypt",BB,8.0,4.8,6.566,,11.366
160,JANA ABDELSALAM,w,EGY,2023-04-27,2023 cairo world cup,qual,"cairo, egypt",BB,9.0,4.7,7.466,,12.166
161,JANA ABDELSALAM,w,EGY,2023-04-27,2023 cairo world cup,qual,"cairo, egypt",UB,29.0,4.5,6.266,,10.766
162,JANA ABDELSALAM,w,EGY,2023-03-01,2023 doha world cup,final,"doha, qatar",BB,4.0,5.0,8.0,,13.0
163,JANA ABDELSALAM,w,EGY,2023-03-01,2023 doha world cup,qual,"doha, qatar",BB,6.0,5.0,7.933,,12.933
164,JANA ABDELSALAM,w,EGY,2023-03-01,2023 doha world cup,qual,"doha, qatar",UB,21.0,3.8,5.533,,9.333
168,AYESHA ABDULLAHI,w,GBR,2022-03-24,2022 british gymnastics championships,qual,"liverpool, england",BB,41.0,3.7,6.5,0.0,10.2
169,AYESHA ABDULLAHI,w,GBR,2022-03-24,2022 british gymnastics championships,qual,"liverpool, england",UB,45.0,3.5,6.7,0.0,10.2
220,KUMUDI IMANYA ABEYRATNE,w,SRI,,birmingham 2022 commonwealth games,qual,"birmingham, england",BB,36.0,3.9,5.2,,9.1
