,name,Country,FX_mean_score,FX_std,FX_count,FX_D_mean_score,FX_D_std,FX_E_mean_score,FX_E_std,FX_rank,HB_mean_score,HB_std,HB_count,HB_D_mean_score,HB_D_std,HB_E_mean_score,HB_E_std,HB_rank,PB_mean_score,PB_std,PB_count,PB_D_mean_score,PB_D_std,PB_E_mean_score,PB_E_std,PB_rank,PH_mean_score,PH_std,PH_count,PH_D_mean_score,PH_D_std,PH_E_mean_score,PH_E_std,PH_rank,SR_mean_score,SR_std,SR_count,SR_D_mean_score,SR_D_std,SR_E_mean_score,SR_E_std,SR_rank,VT_mean_score,VT_std,VT_count,VT_D_mean_score,VT_D_std,VT_E_mean_score,VT_E_std,VT_rank,all_scores_std,Standardized_Score_Sum,Total_Appearances,apparatus_participated,mean_score_of_all
112,BOHENG ZHANG,CHN,14.43,0.26,8.0,6.02,0.14,8.42,0.18,4.0,14.52,0.71,9.0,6.18,0.38,8.34,0.4,3.0,15.02,0.53,8.0,6.31,0.25,8.71,0.4,5.0,13.84,0.94,8.0,5.82,0.14,8.01,0.87,37.0,14.2,1.01,7.0,6.01,0.17,8.19,0.92,26.0,14.55,0.5,6.0,5.6,0.0,8.97,0.5,14.0,0.76,86.56,46.0,6,14.43
496,KAZUMA KAYA,JPN,13.84,0.49,6.0,5.7,0.0,8.16,0.5,49.0,14.08,0.08,6.0,5.88,0.04,8.19,0.07,16.0,14.69,0.14,8.0,6.3,0.0,8.39,0.14,14.0,14.37,0.21,7.0,6.31,0.11,8.05,0.17,10.0,14.06,0.15,4.0,5.8,0.0,8.26,0.15,37.0,14.37,0.18,4.0,5.6,0.0,8.8,0.17,42.0,0.38,85.41,35.0,6,14.27
934,WATARU TANIGAWA,JPN,13.94,0.5,4.0,5.7,0.08,8.27,0.51,36.0,13.94,0.42,4.0,5.75,0.1,8.19,0.36,24.0,14.86,0.07,4.0,6.3,0.0,8.56,0.07,9.0,13.75,0.02,2.0,5.85,0.07,7.9,0.05,42.0,14.13,0.24,5.0,6.0,0.0,8.13,0.24,33.0,14.65,0.44,11.0,5.64,0.33,9.02,0.21,8.0,0.52,85.27,30.0,6,14.34
173,CONG SHI,CHN,13.87,0.03,3.0,5.53,0.23,8.33,0.2,47.0,14.31,0.76,5.0,6.1,0.28,8.21,0.54,7.0,14.84,0.16,5.0,6.18,0.16,8.66,0.08,10.0,13.73,0.47,4.0,5.68,0.1,8.06,0.46,43.0,14.32,0.11,3.0,6.0,0.0,8.32,0.11,22.0,13.9,0.66,3.0,5.6,0.0,8.3,0.66,190.0,0.59,84.97,23.0,6,14.21
181,DAIKI HASHIMOTO,JPN,14.26,0.5,10.0,5.95,0.08,8.32,0.45,11.0,14.63,0.59,11.0,6.26,0.37,8.37,0.32,2.0,13.27,3.96,7.0,5.6,1.32,8.53,0.39,218.0,13.88,1.05,9.0,5.9,0.25,7.98,0.84,35.0,13.98,0.2,7.0,5.81,0.04,8.17,0.21,47.0,14.64,0.4,7.0,5.6,0.0,9.13,0.28,9.0,1.55,84.66,51.0,6,14.15
124,BRODY MALONE,USA,13.71,0.78,7.0,5.91,0.2,7.82,0.65,71.0,14.37,0.58,13.0,6.08,0.31,8.29,0.37,4.0,14.5,0.35,10.0,5.96,0.14,8.54,0.28,26.0,13.65,0.76,10.0,5.86,0.17,7.79,0.74,52.0,13.87,0.36,10.0,5.75,0.16,8.11,0.39,55.0,14.47,0.17,7.0,5.2,0.0,9.27,0.17,22.0,0.63,84.57,57.0,6,14.11
144,CARLOS YULO,PHI,14.51,0.76,13.0,6.35,0.09,8.2,0.7,2.0,13.22,0.78,6.0,5.27,0.21,7.96,0.7,101.0,15.08,0.29,14.0,6.34,0.11,8.73,0.27,3.0,12.62,0.73,5.0,5.02,0.13,7.6,0.75,222.0,13.84,0.77,11.0,5.66,0.34,8.17,0.49,59.0,14.69,0.4,25.0,5.63,0.23,9.07,0.36,6.0,0.9,83.96,74.0,6,14.35
931,VITALIY GUIMARAES,USA,14.25,0.0,1.0,5.5,0.0,8.75,0.0,12.0,13.4,0.0,1.0,4.5,0.0,8.9,0.0,72.5,13.9,0.0,1.0,4.7,0.0,9.2,0.0,83.0,14.35,0.0,1.0,5.2,0.0,9.15,0.0,11.0,13.6,0.0,1.0,4.6,0.0,9.0,0.0,90.5,14.45,0.0,1.0,4.8,0.0,9.65,0.0,28.5,0.43,83.95,6.0,6,13.99
489,KAKERU TANIGAWA,JPN,14.27,0.19,4.0,5.7,0.2,8.65,0.16,10.0,14.26,0.57,3.0,5.73,0.29,8.52,0.28,10.0,14.41,0.92,5.0,6.12,0.4,8.29,0.55,32.0,13.3,1.62,5.0,5.96,0.43,7.34,1.4,98.0,13.34,0.15,2.0,5.45,0.07,7.89,0.22,131.0,14.21,0.08,2.0,5.2,0.0,9.01,0.08,80.0,0.99,83.78999999999999,21.0,6,13.98
747,PAUL JUDA,USA,14.34,0.34,6.0,5.6,0.17,8.76,0.32,6.0,13.92,0.3,8.0,5.38,0.07,8.55,0.31,26.0,13.79,0.45,5.0,4.88,0.57,8.91,0.41,109.0,13.45,0.67,4.0,5.48,0.39,7.98,0.76,76.0,13.75,0.25,5.0,5.2,0.0,8.55,0.25,64.0,14.5,0.28,13.0,5.29,0.29,9.26,0.14,16.0,0.5,83.75,41.0,6,14.08
439,JOE FRASER,GBR,13.62,0.37,4.0,5.68,0.05,8.02,0.3,90.0,13.78,0.82,11.0,5.7,0.28,8.08,0.68,32.0,14.62,1.0,13.0,6.39,0.2,8.23,0.87,20.0,13.7,1.26,11.0,6.01,0.21,7.69,1.11,50.0,14.05,0.25,8.0,5.54,0.18,8.51,0.27,39.0,13.87,0.7,4.0,5.2,0.0,8.8,0.58,195.0,0.94,83.64,51.0,6,14.01
503,KENTA CHIBA,JPN,13.6,0.58,3.0,5.7,0.0,7.93,0.61,95.0,13.35,0.88,4.0,5.42,0.19,7.92,0.74,78.0,14.68,0.02,2.0,6.1,0.0,8.58,0.02,15.0,14.19,0.79,4.0,6.12,0.05,8.07,0.77,19.0,13.72,0.05,3.0,6.0,0.0,7.72,0.05,70.0,14.0,0.47,2.0,5.2,0.0,8.85,0.4,149.0,0.7,83.53999999999999,18.0,6,13.86
938,WEI SUN,CHN,13.41,0.72,5.0,5.62,0.18,7.89,0.76,142.0,14.31,0.48,6.0,6.18,0.23,8.12,0.27,8.0,14.46,0.25,3.0,6.1,0.0,8.36,0.25,29.0,13.23,0.75,5.0,6.14,0.17,7.09,0.84,109.0,13.95,0.32,3.0,5.9,0.0,8.06,0.32,50.0,14.09,0.54,5.0,5.6,0.0,8.67,0.44,117.0,0.7,83.45,27.0,6,13.88
953,XINGYU LAN,CHN,13.17,0.64,3.0,5.43,0.06,7.8,0.6,221.0,13.37,0.0,3.0,4.6,0.0,8.77,0.0,76.0,13.94,0.71,5.0,5.88,0.18,8.06,0.71,75.0,13.27,0.86,4.0,5.62,0.22,7.64,0.75,104.0,15.11,0.29,9.0,6.38,0.04,8.78,0.17,2.0,14.47,0.05,2.0,5.6,0.0,8.87,0.05,23.0,0.94,83.33,26.0,6,14.13
129,CAIO SOUZA,BRA,13.73,0.15,3.0,5.6,0.0,8.2,0.12,68.0,13.92,0.51,8.0,6.24,0.18,7.69,0.36,25.0,14.34,0.52,9.0,5.96,0.13,8.39,0.41,37.0,12.84,0.75,7.0,5.26,0.2,7.59,0.75,176.0,14.01,0.36,9.0,6.04,0.13,7.97,0.36,41.0,14.46,0.46,19.0,5.54,0.15,8.96,0.31,25.0,0.71,83.30000000000001,55.0,6,14.04
371,ILLIA KOVTUN,UKR,13.68,0.8,25.0,6.02,0.17,7.73,0.65,82.0,13.52,0.7,25.0,5.62,0.18,7.91,0.6,56.0,14.98,0.29,30.0,6.4,0.17,8.58,0.25,6.0,14.0,0.58,24.0,6.02,0.24,7.98,0.5,25.0,13.1,0.48,18.0,5.17,0.22,7.93,0.42,188.0,14.01,0.52,29.0,5.14,0.14,8.89,0.52,142.0,0.82,83.29,151.0,6,13.96
818,RYOSUKE DOI,JPN,14.56,0.27,5.0,6.2,0.0,8.4,0.24,1.0,14.35,0.48,3.0,6.37,0.06,7.98,0.43,5.0,14.15,0.0,1.0,5.9,0.0,8.25,0.0,46.0,12.93,1.29,4.0,5.92,0.24,7.01,1.24,158.5,12.6,0.0,1.0,4.8,0.0,7.8,0.0,367.5,14.56,0.15,3.0,5.2,0.0,9.36,0.15,12.0,0.98,83.15,17.0,6,14.0
13,ADEM ASIL,TUR,13.96,0.5,18.0,5.79,0.09,8.23,0.43,34.0,13.59,0.36,14.0,5.09,0.27,8.5,0.25,46.0,13.82,0.49,10.0,5.57,0.09,8.25,0.4,103.0,12.69,0.58,8.0,4.92,0.23,7.76,0.46,207.0,14.78,0.27,27.0,6.29,0.03,8.48,0.26,5.0,14.31,0.69,44.0,5.64,0.35,8.74,0.53,49.0,0.75,83.15,121.0,6,14.13
429,JIAXING YANG,CHN,14.0,0.47,4.0,5.98,0.19,8.02,0.57,32.0,13.7,0.23,4.0,5.55,0.17,8.15,0.28,36.0,13.6,0.0,1.0,5.8,0.0,7.8,0.0,137.5,13.13,0.41,3.0,5.73,0.15,7.4,0.33,117.0,14.0,0.33,2.0,5.9,0.0,8.1,0.33,43.0,14.5,0.05,2.0,5.6,0.0,8.95,0.02,18.0,0.51,82.93,16.0,6,13.8
514,KHOI YOUNG,USA,14.02,0.41,8.0,5.46,0.18,8.56,0.41,28.0,12.99,0.49,8.0,4.76,0.21,8.23,0.44,159.0,14.02,0.6,7.0,5.57,0.17,8.45,0.48,61.0,13.97,1.03,12.0,6.15,0.44,7.82,0.8,28.0,13.04,0.34,7.0,4.59,0.09,8.45,0.3,211.0,14.69,0.3,15.0,5.47,0.21,9.26,0.23,5.0,0.85,82.72999999999999,57.0,6,13.92
875,TAKERU KITAZONO,JPN,13.68,0.75,4.0,5.65,0.1,8.11,0.57,80.0,13.57,0.76,6.0,5.78,0.37,7.78,0.51,50.0,13.91,2.12,6.0,6.02,0.53,7.89,1.72,80.0,13.75,0.86,4.0,5.78,0.29,7.97,0.74,41.0,13.35,0.91,5.0,5.46,0.13,7.89,1.04,130.0,14.43,0.0,1.0,5.6,0.0,8.83,0.0,31.0,1.17,82.69,26.0,6,13.68
970,YUL MOLDAUER,USA,14.07,0.57,12.0,5.64,0.11,8.43,0.49,24.0,12.47,0.91,9.0,5.26,0.18,7.22,0.84,308.0,14.54,0.57,14.0,6.44,0.18,8.09,0.47,23.0,13.34,0.68,13.0,5.83,0.33,7.51,0.43,90.0,13.97,0.19,11.0,5.83,0.05,8.14,0.21,48.0,14.27,0.39,8.0,5.15,0.14,9.15,0.23,61.0,0.87,82.66,67.0,6,13.82
850,SHANE WISKUS,USA,13.75,0.79,9.0,5.71,0.21,8.12,0.81,60.5,13.27,0.58,10.0,5.69,0.3,7.58,0.64,91.0,14.35,0.55,10.0,6.01,0.27,8.34,0.38,36.0,13.09,0.5,8.0,5.35,0.14,7.74,0.54,124.0,13.91,0.18,9.0,5.5,0.0,8.41,0.18,54.0,14.24,0.26,7.0,5.2,0.0,9.04,0.26,74.0,0.69,82.60999999999999,53.0,6,13.76
88,ASHER HONG,USA,13.91,0.61,14.0,6.04,0.12,8.0,0.58,40.0,12.21,1.19,12.0,5.2,0.22,7.01,1.01,383.0,14.61,0.23,15.0,6.0,0.0,8.61,0.23,21.0,13.13,0.68,14.0,5.66,0.15,7.46,0.75,118.0,14.15,0.37,15.0,5.97,0.09,8.18,0.35,30.0,14.49,0.51,21.0,5.89,0.29,8.7,0.46,19.0,1.02,82.5,91.0,6,13.85
304,FREDERICK RICHARD,USA,13.92,0.73,13.0,5.98,0.16,7.99,0.64,39.0,13.68,0.93,14.0,5.96,0.4,7.74,0.64,38.0,14.17,0.69,14.0,5.91,0.22,8.26,0.59,44.0,13.14,0.94,13.0,5.83,0.43,7.31,1.07,116.0,13.45,0.58,10.0,5.09,0.22,8.36,0.39,116.0,14.12,0.35,12.0,5.23,0.12,8.97,0.32,104.0,0.81,82.48,76.0,6,13.76
910,TSUYOSHI HASEGAWA,JPN,13.61,0.62,2.0,5.4,0.28,8.21,0.34,92.0,13.65,0.33,3.0,5.47,0.29,8.18,0.31,40.0,14.4,0.42,4.0,6.18,0.25,8.22,0.42,33.0,13.61,0.08,2.0,6.05,0.21,7.56,0.13,54.0,13.28,0.26,2.0,5.45,0.21,7.83,0.47,143.0,13.9,0.0,1.0,5.2,0.0,8.8,0.0,185.5,0.51,82.45,14.0,6,13.82
84,ARTUR DAVTYAN,ARM,13.29,0.31,8.0,4.62,0.21,8.7,0.29,178.0,12.88,0.26,6.0,4.3,0.13,8.58,0.14,192.0,13.56,0.18,8.0,4.51,0.04,9.05,0.17,145.0,13.84,1.03,12.0,5.6,0.35,8.24,0.75,38.0,13.99,0.19,7.0,5.23,0.19,8.76,0.17,46.0,14.89,0.36,50.0,5.58,0.13,9.34,0.3,1.0,0.85,82.45,91.0,6,14.29
398,JAKE JARMAN,GBR,14.21,0.48,19.0,6.33,0.4,7.91,0.56,15.0,13.19,0.42,16.0,4.66,0.4,8.53,0.37,112.0,13.96,0.55,15.0,5.6,0.55,8.36,0.53,72.0,13.25,0.38,15.0,5.54,0.26,7.71,0.43,105.0,13.05,0.21,12.0,4.71,0.14,8.35,0.32,204.0,14.76,0.5,42.0,5.76,0.22,9.03,0.45,3.0,0.82,82.42,119.0,6,14.0
855,SHOHEI KAWAKAMI,JPN,13.58,0.86,4.0,5.78,0.05,7.88,0.84,97.0,14.23,0.35,6.0,6.23,0.08,8.0,0.33,12.0,14.52,0.15,3.0,6.27,0.06,8.26,0.2,25.0,13.35,0.55,4.0,5.72,0.1,7.62,0.64,87.0,13.32,0.22,4.0,5.1,0.0,8.22,0.22,133.0,13.42,0.75,4.0,4.9,0.6,8.62,0.61,407.0,0.67,82.42,25.0,6,13.74
598,MARIOS GEORGIOU,CYP,13.34,0.51,5.0,5.54,0.15,7.82,0.4,161.0,13.79,0.57,15.0,5.69,0.26,8.09,0.48,30.0,14.46,0.27,9.0,5.83,0.1,8.63,0.23,28.0,13.48,0.94,9.0,5.91,0.28,7.56,1.02,70.0,13.48,0.41,4.0,4.8,0.2,8.67,0.26,111.0,13.77,0.23,6.0,4.8,0.0,9.07,0.21,256.5,0.66,82.32000000000001,48.0,6,13.78
405,JAMES HALL,GBR,13.77,0.35,8.0,5.84,0.05,7.96,0.4,58.0,13.52,0.74,12.0,5.5,0.1,8.02,0.71,55.0,14.06,0.58,10.0,5.93,0.2,8.13,0.61,53.0,13.31,0.81,12.0,5.87,0.27,7.44,0.64,94.0,13.56,0.16,10.0,5.18,0.11,8.38,0.16,98.0,14.01,0.48,5.0,5.2,0.28,8.89,0.47,144.0,0.63,82.23,57.0,6,13.66
171,COLT WALKER,USA,13.32,1.22,9.0,5.39,0.42,7.96,1.21,169.0,13.06,0.64,11.0,5.4,0.2,7.66,0.7,140.0,14.67,0.61,11.0,6.12,0.18,8.56,0.52,16.0,12.95,0.82,8.0,5.46,0.05,7.49,0.81,153.0,13.84,0.32,10.0,5.22,0.2,8.67,0.35,58.0,14.28,0.5,10.0,5.32,0.5,8.98,0.29,58.5,0.94,82.12,59.0,6,13.72
852,SHIGA TACHIBANA,JPN,14.17,0.19,2.0,5.9,0.0,8.27,0.19,17.0,12.47,0.0,1.0,5.6,0.0,6.87,0.0,310.0,13.93,0.0,1.0,6.1,0.0,7.83,0.0,76.5,13.6,0.0,1.0,5.7,0.0,7.9,0.0,56.0,13.27,0.0,1.0,5.3,0.0,7.97,0.0,145.0,14.35,0.2,4.0,5.2,0.0,9.15,0.2,44.0,0.64,81.78999999999999,10.0,6,13.9
715,NOE SEIFERT,SUI,13.69,0.6,10.0,5.62,0.29,8.07,0.71,76.0,13.6,0.51,12.0,5.7,0.18,7.9,0.46,45.0,14.11,0.65,12.0,6.12,0.16,7.99,0.57,48.0,13.09,0.52,10.0,5.54,0.35,7.55,0.47,125.0,13.23,0.37,10.0,5.0,0.0,8.23,0.37,154.0,13.94,0.22,8.0,4.8,0.0,9.14,0.22,170.0,0.61,81.66,62.0,6,13.62
227,DONNELL WHITTENBURG,USA,13.68,0.75,13.0,6.24,0.16,7.53,0.69,81.0,13.03,0.48,12.0,5.27,0.18,7.76,0.48,150.0,13.82,0.22,11.0,5.65,0.23,8.17,0.32,102.0,12.3,0.96,10.0,4.9,0.17,7.4,0.95,281.0,14.54,0.3,15.0,5.99,0.05,8.55,0.28,14.0,14.26,0.52,9.0,5.47,0.4,8.88,0.37,63.0,0.93,81.63000000000001,70.0,6,13.65
576,LUKAS DAUSER,GER,13.41,0.73,6.0,5.22,0.2,8.24,0.72,141.0,13.15,0.5,7.0,5.26,0.11,7.89,0.4,120.0,15.15,0.57,10.0,6.54,0.13,8.61,0.44,2.0,12.97,0.42,5.0,5.2,0.16,7.77,0.48,145.0,13.06,0.16,6.0,5.1,0.09,7.96,0.14,203.0,13.8,0.12,6.0,4.8,0.0,9.02,0.09,234.0,0.97,81.53999999999999,40.0,6,13.75
79,ARTEM DOLGOPYAT,ISR,14.27,1.04,23.0,6.21,0.19,8.14,0.89,9.0,12.99,0.27,3.0,4.7,0.0,8.29,0.27,161.0,13.68,0.3,3.0,5.27,0.06,8.51,0.17,126.0,13.29,0.81,15.0,5.74,0.23,7.55,0.71,99.0,13.0,0.24,2.0,4.5,0.0,8.5,0.24,229.0,14.26,0.41,37.0,5.23,0.15,9.06,0.38,66.0,0.83,81.49,83.0,6,13.99
135,CAMERON BOCK,USA,13.6,0.27,9.0,5.39,0.24,8.23,0.3,96.0,13.28,0.59,10.0,5.15,0.1,8.13,0.55,90.0,13.99,0.89,9.0,5.77,0.19,8.23,0.73,65.0,13.47,0.62,10.0,5.44,0.16,8.03,0.64,71.0,13.28,0.7,9.0,4.96,0.38,8.32,0.46,144.0,13.86,0.55,9.0,5.2,0.0,8.7,0.52,206.0,0.66,81.47999999999999,56.0,6,13.57
651,MILAD KARIMI,KAZ,13.99,0.63,27.0,6.23,0.12,7.82,0.56,33.0,13.37,1.3,22.0,5.89,0.38,7.48,1.04,75.0,13.96,0.72,17.0,5.84,0.18,8.12,0.57,70.0,12.7,0.74,8.0,5.32,0.23,7.38,0.79,200.0,13.14,0.11,6.0,4.4,0.0,8.74,0.11,175.0,14.29,0.23,19.0,5.22,0.09,9.1,0.24,54.0,0.91,81.44999999999999,99.0,6,13.75
695,NICOLA BARTOLINI,ITA,14.21,0.33,10.0,5.76,0.25,8.45,0.35,13.0,12.97,0.42,2.0,4.4,0.0,8.57,0.42,166.0,13.83,0.2,4.0,5.05,0.06,8.78,0.16,99.0,13.0,0.42,7.0,5.07,0.22,7.93,0.38,135.0,12.83,0.0,2.0,4.3,0.0,8.53,0.0,291.5,14.46,0.22,12.0,5.13,0.16,9.35,0.11,26.0,0.69,81.30000000000001,37.0,6,13.88
791,RILEY LOOS,USA,13.71,0.45,12.0,5.77,0.15,7.96,0.44,72.0,12.82,0.52,9.0,5.23,0.24,7.59,0.58,217.0,13.58,0.68,9.0,5.39,0.32,8.19,0.69,142.0,12.79,0.67,10.0,5.49,0.27,7.3,0.73,190.0,14.02,0.22,12.0,5.67,0.05,8.35,0.21,40.0,14.28,0.27,8.0,5.6,0.0,8.7,0.25,58.5,0.72,81.2,60.0,6,13.54
558,LORENZO MINH CASALI,ITA,13.81,0.43,9.0,5.56,0.19,8.29,0.33,52.0,12.94,0.51,6.0,5.15,0.2,7.79,0.38,173.0,13.84,0.48,9.0,5.67,0.14,8.17,0.44,95.0,12.79,0.47,6.0,4.93,0.21,7.86,0.58,191.0,13.42,0.16,9.0,5.09,0.12,8.33,0.1,119.0,14.4,0.15,9.0,5.51,0.18,8.91,0.17,39.0,0.65,81.2,48.0,6,13.62
359,IAN LASIC-ELLIS,USA,13.63,0.65,8.0,5.66,0.11,7.97,0.57,88.0,13.05,0.46,8.0,5.19,0.29,7.86,0.62,142.0,13.77,0.58,7.0,5.5,0.28,8.27,0.48,110.0,13.27,0.46,7.0,5.24,0.43,8.02,0.38,103.0,13.74,0.2,8.0,5.06,0.07,8.67,0.25,67.0,13.65,0.45,5.0,5.12,0.18,8.61,0.51,320.5,0.53,81.11,43.0,6,13.51
146,CASIMIR SCHMIDT,NED,13.51,0.39,9.0,5.67,0.15,7.87,0.33,114.0,13.23,0.21,8.0,5.15,0.05,8.08,0.17,98.0,13.52,0.48,9.0,5.48,0.11,8.04,0.45,153.0,13.02,0.45,9.0,5.66,0.17,7.36,0.48,133.0,13.72,0.39,11.0,5.45,0.15,8.26,0.36,71.0,14.1,0.49,6.0,5.33,0.21,8.82,0.47,113.0,0.51,81.1,52.0,6,13.5
215,DIOGO SOARES,BRA,13.18,0.35,6.0,5.33,0.05,7.95,0.43,212.5,13.75,0.29,7.0,5.39,0.32,8.36,0.17,33.0,13.69,0.75,8.0,5.52,0.18,8.17,0.68,124.0,13.28,0.67,7.0,5.47,0.4,7.8,0.46,101.0,13.05,0.1,7.0,4.53,0.13,8.52,0.18,210.0,14.13,0.11,6.0,4.8,0.0,9.33,0.11,98.0,0.58,81.08,41.0,6,13.51
443,JOEL PLATA,ESP,13.73,0.64,7.0,5.86,0.18,7.97,0.53,69.0,13.12,0.96,10.0,5.75,0.37,7.37,0.92,126.0,13.81,0.83,6.0,5.65,0.2,8.16,0.64,105.0,12.95,0.68,9.0,5.27,0.24,7.69,0.52,151.0,13.17,0.44,9.0,5.02,0.07,8.15,0.46,165.0,14.25,0.39,15.0,5.28,0.38,9.0,0.24,67.0,0.81,81.03,56.0,6,13.55
868,SUNGHYUN RYU,KOR,14.08,0.32,13.0,5.96,0.16,8.19,0.24,23.0,13.47,0.21,8.0,5.09,0.04,8.39,0.2,58.0,13.87,0.4,9.0,5.62,0.16,8.25,0.34,88.0,12.04,1.6,7.0,5.11,0.16,6.93,1.6,351.0,13.5,0.2,7.0,5.0,0.0,8.5,0.2,106.0,14.07,0.7,4.0,5.4,0.4,8.84,0.57,123.0,0.94,81.03,48.0,6,13.56
971,YUMIN ABBADINI,ITA,13.74,0.16,10.0,5.34,0.17,8.43,0.17,65.0,13.27,1.24,11.0,5.55,0.28,7.74,0.96,95.0,13.46,0.71,7.0,5.27,0.27,8.19,0.48,171.0,13.52,0.66,12.0,5.63,0.32,7.89,0.66,61.0,13.27,0.18,9.0,4.73,0.1,8.53,0.19,146.0,13.77,0.17,6.0,4.8,0.0,9.01,0.12,255.0,0.69,81.02999999999999,55.0,6,13.49
156,CHIH KAI LEE,TPE,13.65,0.24,4.0,5.4,0.12,8.25,0.15,85.0,13.08,0.82,6.0,5.03,0.19,8.04,0.66,133.0,13.17,0.58,9.0,5.36,0.29,7.81,0.59,246.0,14.49,0.88,15.0,6.28,0.27,8.21,0.76,6.0,12.63,0.47,5.0,4.76,0.09,7.87,0.52,358.0,13.9,0.57,2.0,5.2,0.0,8.7,0.57,185.5,0.98,80.92,41.0,6,13.66
155,CHIA HUNG TANG,TPE,14.03,0.39,10.0,5.53,0.09,8.5,0.41,27.0,13.08,0.96,8.0,5.51,0.15,7.6,0.86,132.0,13.27,0.39,4.0,4.9,0.0,8.37,0.39,216.0,13.07,0.58,5.0,4.94,0.13,8.13,0.58,127.0,13.52,0.27,3.0,5.4,0.0,8.12,0.27,102.0,13.95,0.07,2.0,4.8,0.0,9.15,0.07,163.0,0.71,80.92,32.0,6,13.49
530,KRISZTOFER MESZAROS,HUN,13.74,0.93,17.0,5.89,0.23,7.91,0.9,64.0,13.0,0.86,15.0,5.41,0.21,7.59,0.7,156.0,14.03,0.47,14.0,5.99,0.23,8.04,0.54,59.0,13.39,0.87,18.0,5.54,0.32,7.85,0.72,81.0,13.09,0.51,9.0,4.63,0.25,8.45,0.4,198.0,13.62,0.61,18.0,4.73,0.55,8.95,0.48,335.0,0.81,80.87,91.0,6,13.51
597,MARIO MACCHIATI,ITA,13.32,0.25,5.0,5.54,0.09,7.94,0.22,168.0,12.98,0.16,7.0,4.91,0.09,8.06,0.14,162.0,14.09,0.37,10.0,5.68,0.19,8.41,0.49,51.0,13.04,1.08,8.0,5.51,0.22,7.53,0.9,131.0,13.2,0.17,4.0,4.7,0.0,8.5,0.17,161.0,14.11,0.6,5.0,5.2,0.0,8.97,0.58,105.0,0.74,80.74,39.0,6,13.49
